start_station_name,start_station_id,avg_lat,avg_lng,n_observations
Cityfront Plaza Dr & Pioneer Ct,13427,41.890547633575984,-87.62206545061156,23292
Shore Dr & 55th St,TA1308000009,41.79522976313751,-87.58075335370123,23212
Honore St & Division St,TA1305000034,41.90312397583023,-87.67391370014477,23066
Michigan Ave & 14th St,TA1307000124,41.86410052959415,-87.62372571583029,23057
Aberdeen St & Jackson Blvd,13157,41.877732420846534,-87.6548066328778,22960
Clark St & Berwyn Ave,KA1504000146,41.97801405880154,-87.66843821248007,22847
Halsted St & Willow St,TA1307000166,41.913860576882556,-87.6487656809171,22821
Stetson Ave & South Water St,TA1308000029,41.886768938391484,-87.62227734850484,22589
Clark St & Chicago Ave,13303,41.89673037376899,-87.6308794169759,22556
Dayton St & North Ave,13058,41.91058896150562,-87.64942869382742,22498
900 W Harrison St,13028,41.87475326105619,-87.64980747934003,22481
Damen Ave & Chicago Ave,13132,41.8957273623289,-87.67718919087493,22471
Sedgwick St & Huron St,TA1307000062,41.89466585571332,-87.63840082090537,22453
Desplaines St & Jackson Blvd,15539,41.87811809680764,-87.64400288154572,22234
Larrabee St & Division St,KA1504000079,41.90348597869098,-87.64336208630029,22188
Sheffield Ave & Willow St,TA1306000032,41.91370079602175,-87.65285352956555,21789
Desplaines St & Randolph St,15535,41.884608086967525,-87.64455272811824,21762
Aberdeen St & Randolph St,18062,41.88412285742822,-87.6542714172338,21279
Canal St & Jackson Blvd,13138,41.87725187549708,-87.63939331078421,21224
Southport Ave & Clybourn Ave,TA1309000030,41.92076485508014,-87.66373047397803,21110
Halsted St & Maxwell St,TA1309000001,41.86487838499722,-87.64707636950175,20955
Michigan Ave & Madison St,13036,41.882101831783245,-87.62513114327304,20635
Western Ave & Winnebago Ave,13068,41.91554133355742,-87.68702641580018,20619
Clifton Ave & Armitage Ave,TA1307000163,41.91821472459091,-87.6569597603301,20582
Burnham Harbor,15545,41.85729172090346,-87.61376201296262,20386
Carpenter St & Huron St,13196,41.894558319200385,-87.65346291156115,20333
Green St & Randolph St*,chargingstx3,41.88359750397206,-87.6486044335194,20313
Michigan Ave & Pearson St,13034,41.89757155054794,-87.62351797120515,20202
Wentworth Ave & Cermak Rd,13075,41.853105319435684,-87.6319272498647,20118
Wells St & Polk St,SL-011,41.87270792775377,-87.6335787650647,20096
Wolcott Ave & Polk St,TA1309000064,41.87127731530216,-87.67368895494832,20001
Ogden Ave & Race Ave,13194,41.89179687657776,-87.65877637170362,19585
Ashland Ave & Blackhawk St,13224,41.90704893798314,-87.66725423792721,19517
Aberdeen St & Monroe St,13156,41.88041139773081,-87.6555431818993,19400
Rush St & Hubbard St,KA1503000044,41.89016354829894,-87.62620188894512,19397
Wabash Ave & Adams St,KA1503000015,41.87948276087053,-87.62570688879894,19346
Morgan St & Lake St,TA1306000015,41.885794290726544,-87.65103315565561,19060
Clark St & Leland Ave,TA1309000014,41.96708504404095,-87.6673072849574,18946
Damen Ave & Division St,13136,41.903263071464636,-87.67845010538507,18850
Michigan Ave & 18th St,13150,41.85782741979775,-87.62455658183049,18729
Wells St & Walton St,TA1306000011,41.899932247687985,-87.63443930216744,18618
Broadway & Wilson - Truman College Vaccination Site,13074,41.96521472499862,-87.65818515087258,18349
Franklin St & Adams St (Temp),TA1309000008,41.87935683981908,-87.63550537333589,18310
Sheridan Rd & Buena Ave,TA1309000027,41.958487670669214,-87.65498904662341,18194
Wacker Dr & Washington St,KA1503000072,41.883158000728606,-87.63728145328871,17918
Eckhart Park,13289,41.89637957798995,-87.6609976657134,17906
